hip1x,hip1y,hip1z,hip2x,hip2y,hip2z,hip3x,hip3y,hip3z,lkneex,lkneey,lkneez,lankx,lanky,lankz,rkneex,rkneey,rkneez,rankx,ranky,rankz
5.551853,1497.218018,898.333191,-195.705276,1447.632568,891.86145,-135.601959,1264.238403,868.796082,-155.277588,1227.065674,540.180481,-168.604843,1284.003662,220.923401,83.802971,1316.107178,530.991638,81.173248,1503.768921,268.934296
5.225879,1488.998657,898.896973,-196.35965,1440.730103,892.683533,-137.618103,1256.847412,869.698914,-156.422729,1223.027466,539.619324,-169.050812,1282.841309,220.751083,84.484993,1302.002075,533.096619,81.551598,1490.983154,273.139313
4.930777,1480.850464,899.428894,-196.982742,1433.912354,893.433044,-139.612381,1249.543335,870.528503,-157.585999,1219.043579,539.032288,-169.496582,1281.759277,220.570389,85.134735,1287.98291,535.332642,81.911461,1477.767212,277.039429
4.666285,1472.778687,899.925232,-197.570282,1427.170288,894.104187,-141.566895,1242.321411,871.28009,-158.760742,1215.091431,538.424438,-169.93251,1280.738647,220.386826,85.725845,1274.082031,537.687378,82.251053,1464.133667,280.579834
4.431832,1464.788086,900.38269,-198.118988,1420.494385,894.693542,-143.465088,1235.176392,871.950745,-159.932755,1211.157959,537.799194,-170.349045,1279.760742,220.205963,86.234848,1260.326294,540.147461,82.571075,1450.096802,283.717133
4.226573,1456.88269,900.798767,-198.626541,1413.876099,895.199768,-145.291916,1228.104126,872.539429,-161.081467,1207.236572,537.158997,-170.737305,1278.806519,220.032822,86.642097,1246.737427,542.698914,82.874474,1435.674194,286.420288
4.049464,1449.065918,901.171265,-199.09166,1407.307007,895.623352,-147.034241,1221.099731,873.046326,-162.181976,1203.32666,536.506042,-171.089737,1277.85791,219.871536,86.93219,1233.333618,545.326843,83.166161,1420.885254,288.670776
3.899373,1441.340088,901.49884,-199.513763,1400.779785,895.966492,-148.681107,1214.159668,873.473022,-163.207825,1199.430786,535.84259,-171.400528,1276.897705,219.725052,87.094223,1220.129395,548.016113,83.452507,1405.752197,290.46228
3.775202,1433.707031,901.780823,-199.892944,1394.288452,896.232483,-150.223877,1207.280029,873.821533,-164.133957,1195.55249,535.171265,-171.66571,1275.911377,219.595261,87.121834,1207.136963,550.751709,83.740974,1390.299438,291.799561
3.676003,1426.167603,902.017334,-200.229752,1387.827271,896.425781,-151.65654,1200.458252,874.094604,-164.939285,1191.693848,534.494812,-171.883377,1274.887207,219.482925,87.012993,1194.36731,553.518311,84.039536,1374.552856,292.697388
3.60109,1418.721924,902.209229,-200.524902,1381.392578,896.55127,-152.975525,1193.691406,874.294983,-165.60881,1187.855103,533.816162,-172.053436,1273.81665,219.388016,86.769684,1181.829224,556.300903,84.35627,1358.539307,293.178864
3.550116,1411.369263,902.357849,-200.779175,1374.981689,896.614197,-154.179855,1186.977417,874.426208,-166.134552,1184.033081,533.138428,-172.177658,1272.69519,219.309875,86.397606,1169.531616,559.084412,84.69883,1342.286987,293.273712
3.523124,1404.107666,902.465515,-200.99324,1368.592529,896.619934,-155.270706,1180.314453,874.491455,-166.515579,1180.220825,532.464905,-172.259094,1271.520142,219.247482,85.905693,1157.48291,561.854004,85.074028,1325.823853,293.016876
3.520571,1396.934814,902.534363,-201.167496,1362.224243,896.573853,-156.251221,1173.700439,874.493958,-166.757416,1176.409424,531.798462,-172.301743,1270.29187,219.199738,85.305862,1145.691772,564.594543,85.487564,1309.178955,292.446442
3.543306,1389.84729,902.5672,-201.302063,1355.876465,896.481079,-157.126022,1167.133789,874.437134,-166.871063,1172.589478,531.141541,-172.310043,1269.013306,219.165695,84.61245,1134.167114,567.290649,85.943657,1292.381104,291.602417
3.592521,1382.840454,902.566589,-201.39682,1349.54895,896.346985,-157.900803,1160.612549,874.324402,-166.871704,1168.751587,530.495483,-172.288315,1267.688354,219.144775,83.841789,1122.918457,569.926514,86.444824,1275.459961,290.525513
3.669679,1375.909424,902.535156,-201.451294,1343.241699,896.176331,-158.581711,1154.134277,874.158875,-166.777481,1164.889404,529.860962,-172.240341,1266.323486,219.136932,83.011574,1111.955811,572.485413,86.991814,1258.446045,289.256134
3.77641,1369.048462,902.474915,-201.46492,1336.953857,895.97406,-159.175003,1147.695923,873.943604,-166.608276,1160.998413,529.237976,-172.169083,1264.925537,219.142776,82.140419,1101.289429,574.949829,87.583458,1241.370361,287.833221
3.91441,1362.251099,902.387695,-201.436951,1330.68457,895.744873,-159.686584,1141.293945,873.68158,-166.384644,1157.076538,528.625305,-172.076416,1263.502563,219.163498,81.247238,1090.929443,577.301086,88.216637,1224.265015,286.293976
4.085337,1355.510376,902.274414,-201.36673,1324.431152,895.493469,-160.121536,1134.924561,873.375671,-166.126587,1153.124512,528.020935,-171.963333,1262.063477,219.200851,80.350853,1080.885986,579.52002,88.886292,1207.162842,284.673096
4.29073,1348.818848,902.135803,-201.253647,1318.19104,895.224304,-160.483994,1128.582397,873.028076,-165.852203,1149.146484,527.421692,-171.830032,1260.617188,219.25708,79.469414,1071.168335,581.58667,89.585472,1190.098022,283.002197
4.531952,1342.169067,901.971313,-201.097305,1311.959717,894.941833,-160.776947,1122.262207,872.641235,-165.576004,1145.148438,526.824402,-171.676254,1259.171875,219.334732,78.619972,1061.78418,583.481018,90.305519,1173.105225,281.30957
