hip1x,hip1y,hip1z,hip2x,hip2y,hip2z,hip3x,hip3y,hip3z,hip4x,hip4y,hip4z,lkneex,lkneey,lkneez,lankx,lanky,lankz,rkneex,rkneey,rkneez,rankx,ranky,rankz
206.694977,1287.239746,893.000122,1.018635,1279.03772,887.091309,192.256927,1069.28186,881.612793,11.671367,1089.692505,883.520447,225.241562,1228.735352,440.39505,180.503677,1360.588379,111.241722,-11.666175,988.755981,471.143219,13.883646,966.195679,86.83757
205.688202,1277.483032,892.576965,0.083689,1267.950684,886.022766,192.765579,1059.374878,880.195313,12.071834,1078.696411,881.82135,225.652039,1222.909546,440.155182,181.156845,1359.430908,112.561935,-10.363343,979.809509,470.067749,15.661631,942.969482,87.467712
204.61731,1267.481079,892.054932,-0.911467,1256.714111,884.949463,193.34584,1049.38269,878.845459,12.499022,1067.551758,880.140686,226.098358,1216.63562,439.870728,181.814713,1358.053589,113.988953,-9.068337,970.586365,468.875183,17.584936,921.837769,88.36409
203.518677,1257.426636,891.530762,-1.92401,1245.278809,883.8479,193.865982,1039.2677,877.604126,12.925932,1056.309692,878.564148,226.617783,1209.851196,439.553009,182.486465,1356.511719,115.566353,-7.685982,961.064819,467.746368,19.563692,902.744141,89.059486
202.495178,1247.206909,890.908386,-2.87308,1233.868774,882.830627,194.415405,1028.977661,876.509277,13.341732,1044.968994,877.167725,227.133759,1202.571655,439.241211,183.224274,1354.713379,117.305511,-6.126718,951.214966,466.734161,21.893679,886.303833,89.521271
201.537567,1236.772339,890.214478,-3.754259,1222.347778,881.892151,194.882324,1018.513184,875.481873,13.732895,1033.52771,876.027466,227.651184,1194.791382,438.874115,184.087479,1352.655762,119.191963,-4.548687,940.836304,465.877655,24.103268,872.039001,89.313408
200.695465,1226.141113,889.46936,-4.697953,1211.030396,881.225464,195.335724,1007.782959,874.520203,14.114674,1021.948364,875.121216,228.115936,1186.440552,438.42157,185.052078,1350.283936,121.218353,-3.022598,929.819458,465.151031,26.591356,860.103699,88.088585
199.988647,1215.158325,888.65509,-5.400353,1199.273926,880.599182,195.786026,996.826294,873.648499,14.48954,1010.181335,874.453735,228.556137,1177.549194,437.897888,186.053848,1347.595947,123.421097,-1.658307,918.238037,464.459412,28.410643,851.21405,86.508118
199.418533,1203.901123,887.895264,-5.922497,1187.222046,880.077332,196.240112,985.541443,872.801453,14.835392,998.199402,873.982422,229.012619,1168.077759,437.312164,187.319824,1344.450073,125.608292,-0.446877,906.230469,463.59137,31.185253,844.632935,84.165802
198.954666,1192.332397,887.230957,-6.334417,1174.865356,879.696228,196.700165,973.947327,871.992126,15.190477,985.859924,873.724487,229.400742,1158.120239,436.691437,188.394714,1341.197998,128.391724,0.833361,894.028381,462.429382,33.743038,839.801025,80.981209
198.600525,1180.395508,886.631836,-6.616855,1162.100464,879.365723,197.187592,962.011719,871.16217,15.589131,973.1521,873.545898,229.797043,1147.63147,436.055573,189.778717,1337.528687,131.232224,1.997954,881.736023,460.999542,35.112106,838.001282,78.673553
198.221085,1168.180542,886.149963,-6.955712,1148.811279,879.040283,197.737823,949.768372,870.40863,15.992522,960.014526,873.4021,230.243332,1136.578857,435.27478,191.255447,1333.433472,134.271423,3.329728,869.498047,458.915192,36.913727,834.60498,74.811211
197.595337,1155.778564,885.75,-7.54304,1135.391724,879.056274,198.153458,937.323364,869.76416,16.373899,946.782532,873.448425,230.900879,1124.824585,434.385895,192.823578,1328.605347,137.142792,5.071846,857.604004,456.422211,38.356388,831.964233,75.691284
196.925446,1143.21228,885.430786,-8.186248,1122.161133,879.583679,198.488419,924.939819,869.470703,16.688261,933.69104,873.90625,231.464706,1112.236816,433.446777,194.688492,1323.074341,140.67215,6.481726,846.187683,456.084229,38.498787,825.616211,77.36795
196.485535,1130.711304,885.294983,-8.620625,1109.131104,880.852417,198.807541,912.530518,869.582031,17.003965,920.655212,874.964478,231.768646,1098.550659,432.598206,196.877548,1316.52771,144.981339,7.529624,835.132996,457.798248,37.911884,820.114563,77.608383
196.358078,1118.172241,885.487671,-8.696839,1096.305664,882.704468,199.0952,900.087769,870.195068,17.221092,907.856812,876.714355,232.609894,1083.406738,431.882751,199.368744,1309.498779,150.41214,7.90581,824.02063,459.767731,37.261272,816.276855,77.518135
196.547607,1105.704346,885.977112,-8.458386,1083.665894,884.849792,199.286545,887.602112,871.055237,17.390202,895.167908,878.822571,234.103561,1066.939697,431.044434,201.778534,1300.971558,155.052414,7.623212,812.431091,460.35025,36.636127,814.663757,76.818245
196.792603,1093.356934,886.529724,-8.176725,1071.142212,887.074036,199.346664,875.183655,872.022217,17.501322,882.478149,881.006836,235.996628,1049.443481,429.920044,204.123199,1291.442139,159.92247,6.951543,801.381531,459.795166,36.12854,813.151001,76.189224
196.837173,1081.158081,887.130188,-8.046542,1058.682251,889.178833,199.237152,862.934204,873.003235,17.495983,869.946899,882.994385,238.24649,1030.952637,428.508667,206.390976,1281.304932,165.899979,5.943839,791.13092,458.823639,35.972244,811.203125,75.990654
196.59874,1069.124512,887.682678,-8.204299,1046.251953,891.044373,199.116074,850.896729,873.934326,17.419325,857.487,884.655457,240.795547,1011.578918,426.920807,207.544724,1269.839844,172.08017,5.041535,782.160095,458.57608,35.911034,809.881104,75.886086
196.101501,1057.287964,888.157593,-8.592758,1033.814209,892.72052,198.895004,839.152954,874.740723,17.209131,845.107117,886.036011,243.277863,991.452637,425.398224,208.32724,1256.87146,178.331863,4.583265,774.807129,457.992462,36.102863,808.994202,75.913643
195.42717,1045.684692,888.498962,-9.109419,1021.528259,894.291931,198.570587,827.677429,875.501404,16.919441,832.862061,887.220032,245.508072,970.889404,424.068817,209.191971,1242.259766,184.319641,4.71636,768.361816,457.01535,36.37051,808.352051,75.885071
194.737778,1034.277588,888.661621,-9.653145,1009.5177,895.819824,198.138092,816.441833,876.289246,16.459982,820.84436,888.31488,247.20462,950.182739,422.95694,210.333496,1225.982422,189.477127,5.015244,762.942505,456.327576,36.780262,807.656433,75.851563
194.121414,1023.080139,888.660461,-10.151135,997.826599,897.354553,197.605484,805.360291,877.148804,15.94451,809.103882,889.324829,248.794128,929.287964,422.341797,211.128967,1209.296631,194.882996,5.530375,757.760681,455.688354,37.3246,807.099243,75.933411
193.57106,1011.886963,888.510864,-10.554453,986.44989,898.913757,196.995575,794.328125,878.1745,15.350453,797.605774,890.2547,250.16481,908.382996,422.113617,211.957306,1191.735474,199.676712,5.84115,752.186401,455.043549,37.936447,806.635681,75.957855
193.139816,1000.714294,888.371643,-10.892513,975.298218,900.431274,196.261398,783.218811,879.471375,14.659029,786.333374,891.160278,251.676285,887.371948,422.381958,212.431259,1173.497681,204.384338,6.097775,746.539063,454.262848,38.431667,806.310669,76.059418
192.776871,989.509705,888.345337,-11.178098,964.317322,901.854431,195.567017,772.137756,881.092407,13.948616,775.210266,892.066162,253.283768,866.129883,423.244385,212.411331,1153.677002,208.742935,6.4247,741.049011,453.484375,38.706676,805.798157,76.002731
192.435272,978.291504,888.584595,-11.474181,953.414124,903.128174,194.913071,761.005859,882.983521,13.227074,764.222961,892.979126,254.843979,845.040405,424.786926,212.618423,1132.734619,212.119141,6.80686,735.81073,452.779694,38.801849,805.051941,75.978958
192.197525,967.106934,889.228577,-11.695166,942.91156,904.356262,194.203094,749.821899,885.116577,12.53167,753.315674,893.795349,256.379639,824.048096,426.912048,212.896042,1110.941772,214.634796,7.26548,730.903137,452.078918,38.916328,804.136841,75.973206
192.002731,956.029663,890.241943,-11.989378,931.653442,905.25824,193.542389,738.781189,887.341492,11.833171,742.437012,894.461426,257.818573,803.074951,429.553741,213.432739,1088.571899,215.748672,7.685091,726.186401,451.297394,39.058743,803.359131,75.989967
191.88472,945.076904,891.450623,-12.183059,920.942932,906.05603,192.805298,727.837891,889.598267,11.085149,731.625427,895.03009,259.054871,782.219727,432.408875,213.789291,1065.698242,215.62291,7.928772,721.586853,450.389954,39.245468,802.831726,75.902893
191.926178,934.314941,892.532593,-12.204313,910.456543,906.532288,192.030563,717.065308,891.687439,10.325158,720.955994,895.426208,259.980316,761.826172,435.172943,213.804657,1042.180054,214.432434,8.066375,717.309998,449.386627,39.485489,802.674194,75.829613
192.062683,923.649292,893.445618,-12.159453,900.115784,906.856262,191.182495,706.364197,893.528198,9.510354,710.407837,895.639954,260.615265,741.73053,437.899658,213.646545,1018.004883,212.301575,8.020301,713.45752,448.340302,39.775612,802.541809,75.808197
192.290863,913.027405,894.378601,-12.063684,889.918823,907.278564,190.31514,695.724487,895.132813,8.638062,700.007996,895.646545,260.978119,721.847473,440.774078,213.129028,992.534912,209.834854,7.918809,709.855164,447.433289,40.029762,802.345581,75.835068
192.621048,902.393677,895.33551,-11.906349,879.866638,907.791321,189.387619,685.161926,896.361389,7.822137,689.781921,895.483459,261.170502,702.166992,443.863342,213.194885,966.74646,205.791824,7.796868,706.368042,446.467712,40.18819,801.980713,75.909996
193.179794,891.674255,896.239502,-11.589674,869.873718,908.308411,188.453751,674.620789,897.332031,6.98786,679.765869,895.153992,261.173187,682.911194,446.972137,213.440216,940.328064,200.64476,7.611688,702.802307,445.562042,40.207676,801.294495,76.103416
193.859299,881.014404,896.915039,-11.11088,860.126709,908.727661,187.553101,664.160034,898.106201,6.146318,669.885864,894.733276,261.075531,664.340515,449.984894,213.95755,913.322388,194.629288,7.309256,699.127563,444.685242,40.267689,800.506714,76.387711
194.65419,870.444885,897.270325,-10.537715,850.556641,908.890747,186.644363,653.772644,898.751587,5.329579,660.157959,894.1828,260.828094,646.27179,452.932068,214.008392,885.867126,187.127548,6.899634,695.348389,443.768188,40.262768,799.947388,76.607986
195.353012,860.006653,897.388916,-9.994152,841.158691,908.82196,185.78389,643.458862,899.328552,4.551709,650.520996,893.563171,260.31842,628.694336,455.837646,216.115906,857.159363,181.848267,6.512533,691.519775,442.807343,40.221748,799.80603,76.822884
196.041489,849.717407,897.296326,-9.414503,831.866516,908.516968,184.989182,633.261475,899.751831,3.874612,641.015198,892.787537,259.665375,611.720825,458.653229,216.172363,829.042053,174.176636,6.251613,687.748474,441.811584,40.175266,799.700134,76.818268
196.770828,839.447815,897.127197,-8.787498,822.51178,908.110046,184.371475,623.113403,900.046631,3.32884,631.557922,891.887268,259.038452,595.128113,461.449982,217.068008,799.570923,166.872574,6.096759,683.951294,440.885651,40.200733,799.617859,76.844833
197.518555,829.286743,897.008789,-8.153716,813.169373,907.710999,183.7957,613.070618,900.11499,2.905315,622.152527,890.909424,258.281708,579.054565,464.112457,218.057114,769.419006,159.507492,6.58641,680.768433,439.801178,40.23296,799.502808,77.010757
198.436768,819.202393,896.855286,-7.409089,803.729126,907.213074,183.371506,603.073242,899.985413,2.56862,612.783142,889.84668,257.436829,563.643494,466.481689,219.246353,738.776733,152.230133,6.596442,677.192688,438.965546,40.330879,799.158508,77.249519
199.301376,809.193176,896.661682,-6.676023,794.30957,906.741638,183.076462,593.108215,899.609192,2.349088,603.041382,888.824768,256.311829,548.899475,468.42099,220.330688,707.757813,145.281219,6.626264,673.678406,438.229462,40.405582,798.824402,77.74826
200.103165,799.291504,896.429504,-5.978051,784.964172,906.329895,182.895386,583.230347,898.995605,2.281145,593.983643,887.603088,254.989349,534.884644,470.065247,221.187683,676.312012,138.849106,6.696084,670.20343,437.520477,40.402107,798.546692,78.301529
200.876221,789.332764,896.0354,-5.264233,775.575928,905.897949,182.828201,573.369202,898.1297,2.274495,584.724243,886.320374,253.502075,521.460754,471.367889,221.986588,644.559753,133.113297,6.727603,666.74884,436.893341,40.266434,798.176514,78.789703
201.669189,779.416748,895.411072,-4.451209,766.214844,905.397461,182.821014,563.51416,897.082886,2.318316,575.37793,885.024902,251.777863,508.749603,472.206635,222.736893,612.703247,127.764465,6.614649,663.261108,436.366455,40.320549,798.803833,79.879356
202.456329,769.436096,894.565186,-3.609683,756.761841,904.783264,182.91037,553.620911,895.910767,2.458956,565.977722,883.750061,249.983246,496.658325,472.650726,223.718216,580.894897,122.903374,6.457272,659.752563,435.914917,40.212826,798.419006,80.430695
203.154266,759.371765,893.682434,-2.841362,747.233032,904.198792,183.0625,543.666992,894.643372,2.660069,556.570618,882.431946,248.231842,485.209351,472.878662,224.337723,549.380066,119.35498,6.481631,656.003418,435.169861,40.011829,797.827026,80.963943
203.791626,749.261108,892.836792,-2.143155,737.656006,903.686829,183.244583,533.594055,893.318909,2.877987,547.006409,881.124023,246.271866,474.255737,472.691498,224.677994,518.499268,116.978134,5.931979,652.062683,435.038971,39.783112,797.36499,81.759956
204.412415,739.013,892.053162,-1.472932,727.95166,903.32666,183.389816,523.422363,891.847595,3.062363,537.379761,879.732971,244.877441,464.138824,472.414124,224.675018,488.145569,115.657356,6.170461,647.897583,434.676544,39.781929,796.718445,82.996948
205.078796,728.568909,891.300842,-0.771202,718.170105,903.096802,183.522003,513.062866,890.229614,3.223285,527.585999,878.334229,242.878799,454.227356,471.276276,224.399323,458.377197,115.353851,6.118567,643.528381,434.418976,39.791218,796.084045,84.475143
205.802795,717.933167,890.481689,-0.073454,708.348694,902.84906,183.605194,502.507263,888.513611,3.351991,517.705322,876.938232,240.923889,444.667908,469.868866,223.954483,429.562256,115.991486,5.871267,638.896973,434.307037,40.032257,795.256165,85.82103
206.623642,706.980225,889.404968,0.662275,698.262695,902.307434,183.700729,491.716339,886.799988,3.486495,507.832764,875.589844,240.074646,435.700378,468.780273,223.244949,402.058319,117.29567,5.698008,634.046753,434.370697,40.152805,794.527344,87.502563
207.529297,695.794739,888.050598,1.551006,688.162659,901.566772,183.701019,480.598297,885.067566,3.559112,497.75766,874.338501,238.138901,426.022125,466.594269,222.163086,376.276978,119.05706,5.055616,628.821106,434.670105,40.250805,793.798523,89.28299
208.576996,684.360413,886.456482,2.610386,677.86261,900.655762,183.584259,469.320343,883.388123,3.550591,487.45816,873.147888,237.192307,416.760834,465.118469,220.888672,352.236572,120.964149,5.142663,622.944214,434.245636,40.309437,792.860168,91.156998
209.723343,672.710449,884.719727,3.826035,667.323792,899.621338,183.486618,457.805054,881.845276,3.485552,476.956635,872.012268,235.667404,406.328979,462.340973,219.754074,330.273621,122.576752,5.147459,616.526245,434.147522,40.447464,791.772339,93.122391
210.98674,660.86969,883.002808,5.152452,656.571655,898.491699,183.292358,446.061249,880.417053,3.340982,466.134674,870.850708,234.84433,395.888489,460.675201,218.672699,310.766235,123.736069,5.164681,609.625061,434.079315,40.632587,790.322937,95.175903
212.23764,648.776306,881.466797,6.460682,645.384705,897.331299,183.062271,434.073456,879.141357,3.180726,454.992859,869.730713,234.360504,384.503082,459.099274,217.761749,294.393921,124.388382,4.011866,601.708618,434.062897,40.753258,788.687927,97.461479
213.446808,636.494629,880.190186,7.654078,633.960571,896.21698,182.786179,421.919098,877.992065,3.076712,443.542755,868.625793,233.480988,372.589783,458.35733,216.48085,280.340698,123.883408,3.750031,593.108093,433.728912,40.86264,786.746643,99.953552
