XHIP1,YHIP1,ZHIP1,XHIP2,YHIP2,ZHIP2,XHIP3,YHIP3,ZHIP3,XRightThigh1,YRightThigh1,ZRightThigh1,XRightThigh3,YRightThigh3,ZRightThigh3,XLeftThigh1,YLeftThigh1,ZLeftThigh1,XLeftThigh3,YLeftThigh3,ZLeftThigh3,XLKNEE,YLKNEE,ZLKNEE,XLANK,YLANK,ZLANK,XLeftTibia3,YLeftTibia3,ZLeftTibia3,XRKNEE,YRKNEE,ZRKNEE,XRANK,YRANK,ZRANK,XRightTibia3,YRightTibia3,ZRightTibia3
111.105492,-469.870514,917.572693,-94.007904,-501.942932,903.74762,-50.842197,-688.9823,871.905273,-104.964775,-655.659729,705.593689,-118.561508,-562.176697,767.666138,191.241165,-543.032776,804.099976,208.053864,-647.49884,714.443115,-53.717854,-661.910461,529.701965,-57.735622,-544.481445,224.144287,-64.307594,-627.587524,433.503571,186.057724,-719.571838,577.663574,197.742691,-589.902893,280.478912,192.290222,-711.352661,469.061462
111.632561,-476.524475,917.245789,-93.611092,-507.875671,903.514465,-51.23431,-695.129333,871.594543,-104.828217,-660.752869,705.040649,-118.539108,-567.528625,767.511536,191.458099,-550.874634,804.034302,207.77655,-656.720276,715.5625,-53.332649,-665.492126,529.131714,-57.534847,-545.769958,224.282822,-63.956512,-630.377075,433.172913,184.701889,-730.25293,579.724915,198.067612,-608.868591,278.801117,190.953217,-723.6875,471.08139
112.193703,-483.157471,916.893372,-93.172813,-513.814514,903.272217,-51.562035,-701.272217,871.258911,-104.694611,-665.83844,704.476318,-118.500938,-572.894165,767.354553,191.692078,-558.617249,803.925171,207.518845,-665.738281,716.554932,-52.975292,-669.124329,528.564514,-57.346184,-547.080872,224.445435,-63.601524,-633.196411,432.870514,183.331802,-740.56189,581.635315,198.264847,-627.80481,277.148651,189.567459,-735.59314,473.006287
112.785698,-489.779144,916.509766,-92.69735,-519.772156,903.021484,-51.824169,-707.421509,870.89917,-104.561386,-670.928345,703.903015,-118.455078,-578.290955,767.197144,191.939774,-566.264343,803.764099,207.294113,-674.546082,717.401794,-52.647392,-672.810181,527.999634,-57.175598,-548.412964,224.636078,-63.247047,-636.040894,432.596039,181.972488,-750.486938,583.366211,198.332077,-646.658997,275.546631,188.158829,-747.05426,474.813507
113.405113,-496.399567,916.089355,-92.189072,-525.761841,902.763062,-52.019405,-713.587952,870.516357,-104.424385,-676.035706,703.324219,-118.409363,-583.736023,767.041687,192.197647,-573.821228,803.542419,207.114883,-683.138977,718.085815,-52.346546,-676.546753,527.437439,-57.029202,-549.764099,224.858948,-62.897488,-638.903992,432.349762,180.647278,-760.02124,584.891235,198.267944,-665.378296,274.016296,186.751785,-758.062439,476.48175
114.048584,-503.029419,915.626465,-91.652176,-531.796692,902.497253,-52.146641,-719.782471,870.111328,-104.27887,-681.173523,702.743103,-118.371025,-589.245544,766.890442,192.46225,-581.294861,803.252319,206.992233,-691.51593,718.591675,-52.06781,-680.326599,526.879517,-56.912926,-551.13269,225.118347,-62.557659,-641.779785,432.132477,179.377151,-769.163818,586.18689,198.072632,-683.909302,272.574738,185.368942,-768.615784,477.991272
114.712929,-509.679688,915.115662,-91.090462,-537.889709,902.224487,-52.205242,-726.01593,869.685364,-104.120399,-686.354614,702.163818,-118.346085,-594.834473,766.745789,192.73027,-588.693359,802.886414,206.935333,-699.679749,718.906555,-51.805248,-684.140869,526.328613,-56.832188,-552.518188,225.41832,-62.233055,-644.664551,431.945007,178.180298,-777.920166,587.232849,197.74791,-702.198792,271.234558,184.030426,-778.71936,479.324432
115.395409,-516.361877,914.552002,-90.507164,-544.053223,901.944946,-52.195385,-732.299194,869.239136,-103.945534,-691.591492,701.589783,-118.339111,-600.515625,766.609741,192.99884,-596.027405,802.438477,206.951004,-707.637512,719.020569,-51.553307,-687.981262,525.788635,-56.791508,-553.922058,225.76239,-61.929939,-647.558411,431.788025,177.07164,-786.302185,588.013062,197.297531,-720.194458,270.003357,182.753632,-788.385193,480.465698
116.093826,-523.088074,913.931213,-89.904823,-550.298584,901.658691,-52.118271,-738.643066,868.773987,-103.752182,-696.895996,701.024719,-118.352852,-606.300354,766.483704,193.265549,-603.309387,801.903625,207.043533,-715.40094,718.92688,-51.307903,-691.842163,525.263367,-56.794136,-555.347595,226.153473,-61.655144,-650.466675,431.661804,176.062592,-794.328186,588.515808,196.727112,-737.844666,268.883392,181.552734,-797.631958,481.402313
116.80658,-529.870483,913.249756,-89.285202,-556.636047,901.36554,-51.976326,-745.057739,868.29071,-103.539833,-702.279724,700.47168,-118.388092,-612.198242,766.368835,193.528656,-610.553833,801.278259,207.214188,-722.986389,718.62262,-51.067184,-695.723206,524.756714,-56.841755,-556.800781,226.593597,-61.415699,-653.400208,431.56601,175.160645,-802.022888,588.733948,196.044388,-755.099792,267.871613,180.438522,-806.484192,482.124146
117.532738,-536.721558,912.505005,-88.649307,-563.074707,901.06488,-51.773254,-751.553406,867.790588,-103.309448,-707.75415,699.93335,-118.443657,-618.216797,766.264954,193.787125,-617.777161,800.560547,207.461334,-730.414917,718.108459,-50.831779,-699.630005,524.271545,-56.934284,-558.289734,227.08374,-61.21814,-656.374756,431.499207,174.369492,-809.416748,588.665405,195.259171,-771.912781,266.959686,179.418213,-814.971985,482.624115
118.271896,-543.653931,911.695496,-87.997536,-569.622437,900.755859,-51.514008,-758.139648,867.274414,-103.063194,-713.330383,699.411377,-118.516472,-624.362732,766.171387,194.040665,-624.99762,799.750366,207.780121,-737.711731,717.388855,-50.604652,-703.575562,523.809631,-57.069813,-559.824707,227.624008,-61.067822,-659.410706,431.459381,173.688797,-816.545715,588.312988,194.383255,-788.239319,266.134399,178.495438,-823.129883,482.898071
119.024185,-550.679871,910.820313,-87.329651,-576.285828,900.437439,-51.20472,-764.825867,866.743469,-102.804077,-719.020264,698.90686,-118.601807,-630.64093,766.086121,194.289688,-632.234619,798.849182,208.16272,-744.905151,716.471924,-50.390572,-707.579102,523.37085,-57.244667,-561.418152,228.213684,-60.968319,-662.53186,431.44342,173.114517,-823.4505,587.684631,193.430298,-804.038574,265.378113,177.670334,-830.996521,482.945129
