XHIP1,YHIP1,ZHIP1,XHIP2,YHIP2,ZHIP2,XHIP3,YHIP3,ZHIP3,XHIP4,YHIP4,ZHIP4,XRightThigh1,YRightThigh1,ZRightThigh1,XRightThigh2,YRightThigh2,ZRightThigh2,XRightThigh3,YRightThigh3,ZRightThigh3,XLeftThigh1,YLeftThigh1,ZLeftThigh1,XLeftThigh2,YLeftThigh2,ZLeftThigh2,XLeftThigh3,YLeftThigh3,ZLeftThigh3,XLKNEE,YLKNEE,ZLKNEE,XLANK,YLANK,ZLANK,XLeftTibia3,YLeftTibia3,ZLeftTibia3,XRKNEE,YRKNEE,ZRKNEE,XRANK,YRANK,ZRANK,XRightTibia3,YRightTibia3,ZRightTibia3
213.942764,1551.080566,893.27356,8.503613,1567.041382,886.701599,164.302612,1339.169067,895.842163,-11.288996,1377.03894,875.612488,-40.86895,1508.527954,756.571289,-25.572666,1376.915527,515.392212,-56.401546,1408.845581,699.574707,263.724731,1461.284546,791.530334,208.252914,1320.173584,564.661926,253.244583,1368.56311,699.760071,212.044235,1331.315308,454.595154,177.913712,1373.1073,99.472466,208.878677,1368.396606,235.000931,-33.231411,1417.19165,415.64621,-5.736759,1748.651733,212.35376,,,
214.526123,1540.400513,894.541077,9.138594,1555.911011,887.297241,165.265656,1328.346313,897.447449,-10.192315,1365.93396,877.76593,-40.214619,1495.657227,757.128845,-25.823307,1358.106445,518.463928,-56.244274,1394.713745,701.899414,264.513916,1451.292969,792.659668,208.749146,1313.653809,563.955383,253.831482,1359.873779,699.865601,212.610855,1326.37793,454.009308,178.498917,1372.16748,99.139458,209.610138,1365.86438,234.813019,-34.097553,1395.800781,417.880463,-2.840285,1723.260986,210.349838,,,
214.9758,1529.964966,895.629028,9.570448,1544.856323,888.371521,166.622253,1317.645752,898.765747,-8.921255,1354.955933,880.057922,-40.039791,1482.847778,758.154846,-25.921307,1339.486694,521.953796,-56.036419,1380.575806,704.585327,265.309937,1441.530396,793.596985,209.391998,1307.326416,563.1474,254.532181,1351.443848,699.840515,213.283752,1321.624878,453.380249,179.083405,1371.377075,98.869194,210.206863,1363.692261,234.684402,-34.741207,1374.824219,420.697113,-3.359927,1700.918213,210.802887,,,
215.261032,1519.749146,896.54718,9.813882,1533.859253,889.838501,168.485062,1307.124268,900.171509,-7.515155,1343.942017,882.44812,-40.203281,1469.718384,759.629395,-25.959291,1321.065918,525.66272,-55.77861,1366.439087,707.378357,266.043243,1432.04895,794.384705,210.092484,1301.306152,562.362915,255.055283,1344.139648,699.315186,213.908646,1317.301636,452.698395,179.399994,1370.918213,98.838478,210.720184,1362.009155,234.555405,-35.30307,1354.204834,423.737274,-3.927491,1678.116943,210.119553,,,
215.364822,1509.741943,897.288818,9.816995,1522.772583,891.454773,170.775192,1296.630249,900.76532,-5.876866,1332.830078,884.835205,-40.382347,1456.429688,761.333801,-25.847252,1302.880615,529.440002,-54.715141,1354.925293,709.773376,266.661163,1422.825195,795.017517,210.656677,1295.775879,561.646729,255.86673,1336.294678,699.059448,214.617203,1313.463867,452.067474,179.463379,1370.665649,98.991333,211.043076,1360.713745,234.463379,-35.610107,1333.811035,426.888153,-4.989968,1655.355347,208.482849,,,
215.292068,1499.946533,897.887329,9.650201,1511.777954,893.055969,172.927353,1286.454956,901.630737,-4.071771,1321.646606,887.088257,-40.224152,1443.498169,762.999695,-25.59919,1284.817993,533.27771,-55.461639,1340.148315,712.263123,267.174713,1413.854004,795.531494,211.57579,1290.521851,560.489319,256.645782,1328.692017,698.716309,215.281754,1310.032349,451.406311,179.396698,1370.39856,99.179291,211.233109,1359.511353,234.379059,-35.633602,1313.741089,430.064484,-6.022451,1632.038574,205.932724,,,
215.018188,1490.360596,898.368286,9.306824,1500.802246,894.452026,174.876038,1275.772461,902.482178,-2.291949,1310.515869,889.187561,-40.295055,1430.829346,764.401245,-25.265501,1267.128052,537.127136,-55.143749,1326.095703,715.129639,267.607605,1405.210938,795.967651,212.196625,1285.655273,559.802673,257.369354,1321.259521,698.314758,215.824615,1306.729126,450.747223,179.304031,1370.131836,99.349503,211.361679,1358.363037,234.297134,-35.599171,1293.941406,433.348389,-6.863357,1607.991943,202.400864,-32.83289,1483.268799,293.216522
214.590851,1480.917358,898.702454,8.805636,1489.928223,895.546143,176.909821,1265.943848,903.249695,-0.456496,1299.509399,891.001099,-40.898876,1418.244141,765.693481,-24.872499,1249.948486,540.928894,-54.881592,1312.298706,717.890747,268.016266,1396.799072,796.275574,212.986267,1280.613037,558.150574,258.070862,1314.061035,697.897583,216.36644,1303.471436,450.166473,179.293365,1369.803711,99.522575,211.570831,1357.217285,234.266708,-35.471195,1274.543701,436.688873,-6.740674,1582.374146,197.183441,-32.865807,1459.688599,291.028717
214.049179,1471.682983,898.962952,8.214574,1479.118042,896.309937,179.313217,1256.156494,903.024902,1.28266,1288.619751,892.571472,-41.619839,1405.913574,766.831238,-24.501085,1233.307617,544.66394,-54.57634,1298.662476,720.547119,268.370239,1388.671753,796.505188,213.478943,1275.930298,557.571106,258.709625,1307.059448,697.454529,217.003784,1300.189331,449.615356,179.272873,1369.476685,99.680702,211.82193,1356.125977,234.248474,-35.134552,1255.603516,440.047852,-6.505997,1556.048096,191.032944,-32.706875,1436.628662,289.090942
213.437759,1462.595947,899.141174,7.546978,1468.436157,896.842346,181.004044,1246.742065,903.137817,2.930726,1277.945313,893.947083,-42.153393,1393.723267,767.783203,-24.203302,1217.734619,547.911987,-54.236843,1285.462524,723.046509,268.622925,1380.788452,796.676086,213.984039,1271.248901,556.31366,259.379547,1300.245972,696.989075,217.777679,1296.963135,449.065765,179.330673,1369.328003,99.760201,212.115036,1355.127686,234.247452,-34.759098,1237.210083,443.423767,-4.055448,1526.770874,182.753937,-32.082874,1413.786621,287.110687
212.832245,1453.643555,899.263245,6.917109,1457.891602,897.227478,182.913864,1237.312744,902.587402,4.463647,1267.536987,895.002808,-42.640282,1381.760132,768.617798,-23.377632,1201.699341,551.894409,-53.916737,1272.599609,725.279541,268.830139,1373.000732,796.748596,215.108078,1266.644531,555.848633,260.002594,1293.758423,696.422607,218.569946,1293.84021,448.485809,179.419647,1369.081909,99.934677,212.436707,1354.141846,234.228912,-33.945423,1218.850098,446.770752,-3.691357,1499.21521,175.392044,-31.794493,1390.433472,284.239441
212.245529,1444.731812,899.323425,6.347226,1447.526123,897.490601,184.184372,1227.962158,902.783325,5.800105,1257.32666,895.78772,-43.043423,1370.004639,769.23938,-22.417933,1186.401367,555.417908,-53.625565,1260.062866,727.330688,268.981445,1365.23938,796.746887,216.044891,1261.755005,554.701721,260.502075,1287.274292,695.784241,219.384079,1290.742188,447.8815,179.459702,1368.758789,100.125473,212.70639,1353.072144,234.269653,-33.184448,1201.380493,449.971771,-5.511622,1473.61853,167.952652,-31.403788,1366.915283,281.067535
211.744858,1435.806396,899.31897,5.840373,1437.259399,897.543823,185.429367,1218.704712,902.1651,6.853094,1247.330078,896.279663,-43.317879,1358.585938,769.657532,-21.551006,1171.605591,558.67511,-53.399368,1247.850586,729.226929,269.116669,1357.381958,796.657349,217.186234,1258.549438,552.790283,260.179138,1279.582153,695.865295,220.066086,1287.685303,447.188171,179.441116,1368.364868,100.359192,212.933533,1351.988525,234.337326,-32.44437,1184.365967,453.118652,-4.949677,1444.519409,159.834915,-31.054388,1343.241333,277.679321
211.365158,1426.861694,899.235291,5.460655,1427.265381,897.466858,186.848801,1209.424927,901.316406,7.671095,1237.499634,896.497864,-43.498127,1347.509888,769.841003,-20.688639,1157.282959,561.799255,-53.074612,1236.18042,730.962219,269.20575,1349.380737,796.523682,217.151215,1252.800293,552.48761,260.942627,1274.078125,695.690308,220.603882,1284.643311,446.49585,179.330261,1367.89563,100.647041,213.043304,1350.881958,234.416977,-31.622828,1168.004517,456.116577,-4.322091,1414.805908,151.54892,-30.612839,1319.493164,274.088959
211.077301,1417.881348,899.076782,5.200364,1417.43689,897.227112,187.286224,1200.21936,900.31366,8.245494,1227.818604,896.613281,-43.573879,1336.694702,769.810486,-20.069941,1143.338135,564.685547,-52.74226,1224.665649,732.568909,269.244446,1341.226807,796.366455,217.595551,1248.520142,551.457458,262.355652,1269.80603,694.74115,220.969589,1281.596802,445.820038,179.185013,1367.464722,100.97393,213.093597,1349.759766,234.540955,-30.725725,1152.267822,458.949738,-3.777087,1384.689209,143.324173,-30.176519,1295.241943,270.07843
